"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sel2_SRR1719013","sel2_SRR1719014","sel2_SRR1719015","sel2_SRR1719016","sel2_SRR1719017","sel2_SRR1719018","sel2_SRR1719204","sel2_SRR1719206","sel2_SRR1719207","sel2_SRR1719208","sel2_SRR1719209","sel2_SRR1719211","sel2_SRR1719212","sel2_SRR1719213","sel2_SRR1719214","sel2_SRR1719241","sel2_SRR1719242","sel2_SRR1719266"
"1","augustus_masked-NW_015504334.1-processed-gene-0.10-mRNA-1",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","augustus_masked-NW_015504334.1-processed-gene-0.13-mRNA-1",16.6474026037707,0.095813171551232,0.26517014284918,0.361327148380077,0.717854901196895,0.835322066847296,18.0692214073992,7.29699081758978,46.9831572189777,13.0931079773504,15.7932692745083,19.1301917952103,17.7844871870276,10.3667982388781,27.4320543818895,5.95650980752862,10.131446445407,8.69669991206418,5.60641601947209,16.895662145781,7.79508654384819,17.0357489886906,27.8232785910267,23.763120115224
"3","augustus_masked-NW_015504334.1-processed-gene-0.14-mRNA-1",156.603705285857,-0.100192760988582,0.15873676949873,-0.631188106605531,0.527917537561219,0.74058430805676,158.751016650722,120.400348490231,179.390236654279,127.190191779975,143.267514133039,142.606884291568,177.844871870276,193.310296572021,144.01828550492,127.072209227277,214.207724845748,105.230068935977,197.826393829944,152.828943955019,149.523932795633,218.625445354862,153.897509706617,112.874820547314
"4","augustus_masked-NW_015504334.1-processed-gene-10.54-mRNA-1",864.874852237555,0.0709395697556097,0.159583884714171,0.444528405124794,0.656660596914889,0.792948645331186,841.509454116021,738.212237712833,904.425776465321,892.201786456593,549.380152620394,874.771497544616,699.152652540021,1092.78249670997,838.963663179455,676.063863154499,1240.37851481626,895.760090942611,510.18385777196,976.876465883337,682.424394702346,1303.23479763483,692.97353240776,1158.45210561717
"5","augustus_masked-NW_015504334.1-processed-gene-11.47-mRNA-1",7.88369082425558,0.292579831135011,0.255611575184423,1.14462668963217,0.252363831427535,0.475037800334184,10.3252693756567,1.21616513626496,6.40679416622423,4.67610999191086,2.25618132492975,22.6084084852485,5.55765224594611,9.7569865777676,14.8590294568568,5.95650980752862,0,3.47867996482567,0,8.4478310728905,0,28.3929149811509,6.0863421917871,11.881560057612
"6","augustus_masked-NW_015504334.1-processed-gene-11.48-mRNA-1",0.877029395281236,0.0872444745851377,0.121052382468454,0.72071670797453,0.471083830526509,NA,0,0,0,5.61133199029304,0,0,0,4.26868162777332,0,0,0,0,0,3.07193857196018,2.83457692503571,0,0,0
"7","augustus_masked-NW_015504334.1-processed-gene-11.49-mRNA-1",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","augustus_masked-NW_015504334.1-processed-gene-11.50-mRNA-1",1.60214874998929,-0.291167953689547,0.175897889061463,-1.65532375199685,0.097858843416006,NA,12.9065867195709,0,0,0,1.12809066246488,0,2.22306089837844,0,1.14300226591206,0,1.447349492201,5.21801994723851,4.0045828710515,0.767984642990045,0,0,0,0
"9","augustus_masked-NW_015504334.1-processed-gene-13.0-mRNA-1",2573.33828874668,-0.0809934060184546,0.140622936550296,-0.57596156079052,0.564641163742382,0.74058430805676,2336.09219624233,2783.8019969105,2679.10776050943,2471.79174172408,2807.81765887508,3119.09081679179,2230.84161152277,2411.80511969193,4146.81222072897,2140.37252417195,2461.94148623391,2320.27953653872,2915.33633012549,2427.59945649153,2094.04370337013,1560.19067821424,3297.05851303667,2116.10584626069
"10","augustus_masked-NW_015504334.1-processed-gene-16.39-mRNA-1",1.46973260137379,0.00368275676912908,0.183105662112103,0.0201127410624494,0.983953436303756,NA,0,0,0,1.87044399676435,1.12809066246488,0,1.11153044918922,1.21962332222095,0,4.96375817294052,0,0.869669991206418,6.40733259368239,0.767984642990045,6.37779808133034,0,1.73895491193917,0
"11","augustus_masked-NW_015504334.1-processed-gene-16.43-mRNA-1",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","augustus_masked-NW_015504334.1-processed-gene-17.1-mRNA-1",618.287113990319,-0.0151311501014713,0.127207073608205,-0.118948967791484,0.905315786431728,0.940836039473005,720.187538952055,667.674659809465,761.34070675298,621.922628924145,769.357831801045,693.904229662628,639.130008283803,416.501364538454,554.356098967351,607.564000367919,648.41257250605,667.906553246529,531.808605275638,453.878924007117,513.767067662722,570.697591121134,663.411298904794,627.346371041912
"13","augustus_masked-NW_015504334.1-processed-gene-17.4-mRNA-1",70.9623125195541,0.0125155202562853,0.269523645146868,0.0464357041827085,0.962962979371965,0.962962979371965,64.5329335978544,36.4849540879489,52.3221523574979,49.5667659142551,113.937156908952,84.3467547334272,100.03774042703,31.7102063777447,34.2900679773619,140.970732111511,31.8416888284221,53.9195394547979,157.780565119429,49.9190017943529,92.1237500636604,107.893076928374,75.6445386693539,0
"14","augustus_masked-NW_015504334.1-processed-gene-2.2-mRNA-1",1120.64375972576,0.214945482763396,0.169518040153045,1.26797998944147,0.204805096682983,0.433489779792655,1211.9284929677,1456.96583324543,1414.83371170785,1227.01126187741,1433.80323199286,1702.58706977372,1192.67217198004,729.334746688128,890.398765145498,709.817418730494,764.20053188213,859.233951311941,1136.50061880441,656.626869756489,1350.67590477951,1622.65509117278,1045.98137953141,766.360623715973
"15","augustus_masked-NW_015504334.1-processed-gene-21.0-mRNA-1",0.418825149241208,-0.0642689637809133,0.0922519735269204,-0.696667630228623,0.486010820851079,NA,0,0,0,0,0,0,6.66918269513533,0,0,0,0,0.869669991206418,0,0,0,0,0,0
"16","augustus_masked-NW_015504334.1-processed-gene-21.1-mRNA-1",1.56122103172659,-0.259468609231584,0.155313266503158,-1.67061459122881,0.0947978285407881,NA,0,0,0,0,0,0,6.66918269513533,7.3177399333257,0,3.97100653835241,1.447349492201,8.69669991206418,0,0,0,0,0,0
"17","augustus_masked-NW_015504334.1-processed-gene-4.65-mRNA-1",1051.65708868491,-0.0361156987215013,0.149967104673502,-0.240824138067678,0.809691420641117,0.894732690626984,845.381430131892,949.824971422937,911.900369659249,740.695822718681,721.97802397752,876.510605889635,1010.381178313,1384.88228238189,1046.99007557545,1130.74411179585,1445.9021427088,1176.66349810228,739.245997996106,1112.80974769258,976.511750674801,1330.20806686692,970.336840862057,1558.86067955869
"18","augustus_masked-NW_015504334.1-processed-gene-5.27-mRNA-1",7.57226588907095,-0.325072808570615,0.259302431811931,-1.25364350152484,0.209971612087067,0.433489779792655,19.3598800793563,6.08082568132482,8.54239222163231,0.935221998382173,5.64045331232438,3.47821669003824,15.5614262886491,4.26868162777332,18.288036254593,3.97100653835241,0,6.08768993844493,13.6155817615751,11.5197696448507,0,8.51787449434528,10.433729471635,0
"19","augustus_masked-NW_015504334.1-processed-gene-8.9-mRNA-1",94.6347021866411,0.830643490925318,0.207432228171638,4.00440904601385,6.21727057553157e-05,0.0013263510561134,60.6609575819831,29.1879632703591,28.8305737480091,110.356195809096,92.5034343221198,104.346500701147,77.8071314432455,46.3456862443961,59.4361178274273,106.224424900927,53.5519312114371,73.0522792613391,115.331986686283,148.989020740069,145.980711639339,120.669888669891,149.550122426769,180.599712875702
